symbol,bound,year,n_excursions,mean_duration_hours,median_duration_hours,mean_abs_entry_rho
ETCUSDT,retail_taker,2022,3,82.66666666666667,107.0,4.156685273428046
ETCUSDT,retail_taker,2023,2,13.5,13.5,9.89968967560783
ETCUSDT,retail_taker,2024,1,5.0,5.0,8.828287682203916
ETCUSDT,retail_taker,2025,1,74.0,74.0,4.060995817880105
ATOMUSDT,high_tier,2020,426,8.192488262910798,3.0,2.4848069423505357
ATOMUSDT,high_tier,2021,165,28.763636363636362,9.0,2.734675816858953
ATOMUSDT,high_tier,2022,94,35.12765957446808,10.5,2.157363875492182
ATOMUSDT,high_tier,2023,27,134.85185185185185,21.0,2.6983675129218687
ATOMUSDT,high_tier,2024,20,110.8,66.5,2.0968019812224075
ATOMUSDT,high_tier,2025,26,120.8076923076923,52.5,1.9852214618479351
ATOMUSDT,high_tier,2026-partial,190,18.03157894736842,10.0,2.1642032322170124
ATOMUSDT,retail_taker,2020,87,16.597701149425287,6.0,4.273934448268864
ATOMUSDT,retail_taker,2021,36,51.80555555555556,22.0,5.775192525849355
ATOMUSDT,retail_taker,2022,4,15.75,3.0,5.734247338921728
ATOMUSDT,retail_taker,2023,4,184.25,125.0,6.652209524141086
ATOMUSDT,retail_taker,2024,1,5.0,5.0,13.180785827844696
ATOMUSDT,retail_taker,2025,3,162.0,44.0,4.0283620969888485
ATOMUSDT,retail_taker,2026-partial,8,23.25,17.5,3.7940504775625516
